source,target,importance
ARHGAP10,ARHGAP10,0.9999982
ARHGAP11A,ARHGAP11A,0.9999937
ARHGAP11B,ARHGAP11B,0.9999794
ARHGAP12,ARHGAP12,0.9999794
ARHGAP17,ARHGAP17,0.99996626
ARHGAP18,ARHGAP18,1.0
ARHGAP19,ARHGAP19,1.0
ARHGAP21,ARHGAP21,0.9999999
ARHGAP22,ARHGAP22,0.9999628
ARHGAP24,ARHGAP24,0.99997336
ARHGAP25,ARHGAP25,1.0
ARHGAP26,ARHGAP26,1.0
ARHGAP27,ARHGAP27,0.99999344
ARHGAP28,ARHGAP28,1.0
ARHGAP30,ARHGAP30,1.0
ARHGAP31,ARHGAP31,0.9999812
ARHGAP33,ARHGAP33,1.0
ARHGAP35,ARHGAP35,1.0
ARHGAP39,ARHGAP39,0.9999659
ISG20,ARHGAP4,0.5366162
ARHGAP4,ARHGAP4,1.0
ARHGAP44,ARHGAP44,1.0
ARHGAP45,ARHGAP45,1.0
ARHGAP5,ARHGAP5,0.99996245
ARHGAP6,ARHGAP6,0.9999621
ARHGAP8,ARHGAP8,0.99999446
ARHGAP9,ARHGAP9,0.9999866
ARHGDIA,ARHGDIA,0.99999356
ARHGDIB,ARHGDIB,0.9999868
ARHGDIG,ARHGDIG,1.0
ARHGEF1,ARHGEF1,0.99999964
ARHGEF10,ARHGEF10,0.99999404
ARHGEF11,ARHGEF11,1.0
ARHGEF12,ARHGEF12,0.9999885
ARHGEF16,ARHGEF16,0.9999974
ARHGEF18,ARHGEF18,1.0
ARHGEF19,ARHGEF19,1.0
ARHGEF2,ARHGEF2,0.999971
ARHGEF25,ARHGEF25,1.0
ARHGEF26,ARHGEF26,0.9999989
ARHGEF3,ARHGEF3,1.0
ARHGEF37,ARHGEF37,0.99995655
ARHGEF38,ARHGEF38,1.0
ARHGEF39,ARHGEF39,0.9999805
ARHGEF40,ARHGEF40,1.0
ARHGEF6,ARHGEF6,1.0
ARHGEF7,ARHGEF7,0.9999868
ARHGEF9,ARHGEF9,0.99995697
ARID1A,ARID1A,0.999994
ARID1B,ARID1B,0.9999618
ARID2,ARID2,0.9999987
ARID3A,ARID3A,0.9999922
ARID3B,ARID3B,0.9999986
ARID4A,ARID4A,1.0
ARID4B,ARID4B,0.99998796
ARID5A,ARID5A,0.9999632
ARID5B,ARID5B,1.0
ARIH1,ARIH1,1.0
ARIH2,ARIH2,0.99999446
ARL13B,ARL13B,1.0
ARL14EP,ARL14EP,0.99996716
ARL17A,ARL17A,1.0
ARL2BP,ARL2BP,1.0
ARL4A,ARL4A,0.9999761
ARL4D,ARL4D,0.9999706
ARL5A,ARL5A,0.9999961
ARL5B,ARL5B,0.9999711
ARL6IP1,ARL6IP1,0.9999906
ARL6IP4,ARL6IP4,1.0
ARL6IP5,ARL6IP5,1.0
ARL6IP6,ARL6IP6,0.9999855
ARL8A,ARL8A,0.9999745
ARL8B,ARL8B,1.0
ARL1,ARL1,0.99999595
ARL11,ARL11,0.99999416
ARL15,ARL15,1.0
ARL16,ARL16,0.9999847
ARL2,ARL2,0.9999995
ARL3,ARL3,0.9999552
ARL6,ARL6,1.0
ARL9,ARL9,1.0
ARMC1,ARMC1,0.9999882
ARMC10,ARMC10,1.0
ARMC2,ARMC2,1.0
ARMC5,ARMC5,0.99999106
ARMC6,ARMC6,0.9999706
ARMC7,ARMC7,0.99997324
ARMC8,ARMC8,1.0
ARMC9,ARMC9,0.9999727
ARMCX1,ARMCX1,1.0
ARMCX3,ARMCX3,1.0
ARMCX5,ARMCX5,1.0
ARMCX6,ARMCX6,1.0
ARMT1,ARMT1,1.0
ARNT,ARNT,0.99995667
ARNTL,ARNTL,1.0
ARNTL2,ARNTL2,0.99995506
ARPC1A,ARPC1A,1.0
ARPC1B,ARPC1B,0.99999744
ARPC2,ARPC2,1.0
ARPC3,ARPC3,1.0
ARPC4,ARPC4,0.99998355
ARPC5,ARPC5,0.99999213
ARPC5L,ARPC5L,1.0
ARPP19,ARPP19,1.0
ARRB1,ARRB1,1.0
ARRB2,ARRB2,1.0
ARRDC1,ARRDC1,0.9999749
ARRDC2,ARRDC2,1.0
ARRDC3,ARRDC3,1.0
ARRDC4,ARRDC4,0.9999527
ARSA,ARSA,0.99997914
ARSB,ARSB,0.9999992
ARSG,ARSG,1.0
ARSK,ARSK,0.9999646
ART5,ART5,1.0
ARTN,ARTN,1.0
ARV1,ARV1,1.0
ARVCF,ARVCF,1.0
ASAH1,ASAH1,1.0
ASAH2,ASAH2,1.0
ASAH2B,ASAH2B,1.0
ASAP1,ASAP1,1.0
ASAP3,ASAP3,1.0
ASB1,ASB1,0.9999994
ASB13,ASB13,1.0
ASB18,ASB18,0.99994105
ASB3,ASB3,1.0
ASB6,ASB6,1.0
ASB7,ASB7,1.0
ASB8,ASB8,1.0
ASCC1,ASCC1,0.99998647
ASCC2,ASCC2,0.99997824
ASCC3,ASCC3,1.0
ASCL2,ASCL2,1.0
ASF1A,ASF1A,1.0
ASF1B,ASF1B,1.0
ASGR1,ASGR1,0.9999571
ASH1L,ASH1L,1.0
ASH2L,ASH2L,0.99999523
ASIC1,ASIC1,1.0
ASIC3,ASIC3,1.0
ASIC4,ASIC4,1.0
ASL,ASL,1.0
ASMTL,ASMTL,0.99999386
ASNS,ASNS,0.99997175
ASNSD1,ASNSD1,1.0
ASPDH,ASPDH,1.0
ASPH,ASPH,0.9999689
SULT1A2,ASPHD1,0.40147343
ASPHD1,ASPHD1,1.0
ASPHD2,ASPHD2,1.0
ASPM,ASPM,0.9999842
ASPRV1,ASPRV1,0.99994856
ASPSCR1,ASPSCR1,1.0
ASRGL1,ASRGL1,1.0
ASS1,ASS1,1.0
ASTE1,ASTE1,0.99997324
PTPRC,ASTN1,0.4221227
ASTN1,ASTN1,1.0
ASTN2,ASTN2,1.0
ASXL1,ASXL1,0.9999996
ASXL2,ASXL2,1.0
ATAD1,ATAD1,0.9999893
ATAD2,ATAD2,1.0
ATAD2B,ATAD2B,1.0
ATAD3A,ATAD3A,0.9999774
ATAD3B,ATAD3B,0.99996537
ATAD5,ATAD5,1.0
ATAT1,ATAT1,1.0
ATE1,ATE1,1.0
ATF1,ATF1,1.0
ATF2,ATF2,1.0
DDIT4,ATF3,0.47001204
ATF3,ATF3,0.9999772
ATF4,ATF4,1.0
ATF5,ATF5,1.0
ATF6,ATF6,0.99998444
ATF6B,ATF6B,0.9999982
ATF7,ATF7,0.99998146
ATF7IP,ATF7IP,0.9999541
ATF7IP2,ATF7IP2,1.0
ATG10,ATG10,1.0
ATG101,ATG101,0.9999954
ATG12,ATG12,0.99999255
ATG13,ATG13,0.99997634
ATG14,ATG14,0.9999719
ATG16L1,ATG16L1,1.0
ATG16L2,ATG16L2,1.0
ATG2A,ATG2A,0.999974
ATG2B,ATG2B,0.99999255
ATG3,ATG3,1.0
ATG4A,ATG4A,1.0
ATG4B,ATG4B,0.9999955
ATG4C,ATG4C,1.0
ATG4D,ATG4D,0.99996424
ATG5,ATG5,0.9999994
ATG7,ATG7,1.0
ATG9A,ATG9A,0.9999994
ATG9B,ATG9B,1.0
ATIC,ATIC,0.99999833
MTMR11,ATL1,0.47085482
ATL1,ATL1,1.0
ATL2,ATL2,0.99997514
ATL3,ATL3,0.9999687
ATM,ATM,0.99996525
ATMIN,ATMIN,0.9999742
ATN1,ATN1,0.99999213
ATOH7,ATOH7,0.9999295
ATOX1,ATOX1,0.99999917
ATP11A,ATP11A,1.0
ATP11B,ATP11B,1.0
ATP11C,ATP11C,0.9999718
ATP13A1,ATP13A1,0.9999788
ATP13A2,ATP13A2,1.0
