source,target,importance
RP11-31F15.2,RP11-31F15.2,1.0
PHTF1,PHTF1,0.9999946
RSBN1,RSBN1,0.99999607
PTPN22,PTPN22,0.99999696
RP5-1073O3.7,RP5-1073O3.7,1.0
BCAS2,BCAS2,0.99999833
DENND2C,DENND2C,1.0
NRAS,NRAS,1.0
VANGL1,VANGL1,0.9999955
LOXL4,SLC22A15,0.40576407
SLC22A15,SLC22A15,1.0
IGSF3,IGSF3,0.99999535
TRIM45,TRIM45,0.9999954
MAN1A2,MAN1A2,0.99999696
FAM46C,FAM46C,0.999988
WDR3,WDR3,0.9999989
ZNF697,ZNF697,0.99999154
PHGDH,PHGDH,0.999993
FAM72B,FAM72B,0.9999937
RP11-417J8.3,RP11-417J8.3,0.9999954
RP11-782C8.1,RP11-782C8.1,0.9999979
RP11-782C8.5,RP11-782C8.5,1.0
CTD-2012J19.3,RP11-435B5.3,0.44959205
RP11-435B5.3,RP11-435B5.3,1.0
RP11-435B5.5,RP11-435B5.5,0.99999696
AL590452.1,AL590452.1,0.99999934
RP11-219G17.4,RP11-326G21.1,0.51751804
RP11-326G21.1,RP11-326G21.1,0.999991
NOTCH2NL,NOTCH2NL,0.99999315
TXNIP,TXNIP,1.0
POLR3GL,POLR3GL,0.9999974
LIX1L,LIX1L,1.0
PEX11B,PEX11B,1.0
ITGA10,ITGA10,0.999997
GPR89A,GPR89A,0.99998957
ST3GAL1,FMO5,0.4003624
FMO5,FMO5,0.99998677
BCL9,BCL9,1.0
ACP6,ACP6,0.999995
NBPF15,NBPF15,0.9999934
RP11-14N7.2,RP11-14N7.2,0.99999624
RP11-403I13.8,RP11-403I13.8,0.99999684
CREB5,FCGR1A,0.40997383
TENC1,FCGR1A,0.4369828
LAMP3,FCGR1A,0.46591812
SLC10A5,FCGR1A,0.4859324
RP11-268G12.1,FCGR1A,0.5025754
GFY,FCGR1A,0.53852135
CCL2,FCGR1A,0.54798394
AXDND1,FCGR1A,0.5550243
RP4-798A10.2,FCGR1A,0.5589376
FCGR1A,FCGR1A,1.0
HIST2H2BF,HIST2H2BF,0.9999988
RP11-196G18.3,RP11-196G18.3,1.0
HIST2H3D,HIST2H3D,1.0
RP11-196G18.24,RP11-196G18.24,0.9999966
HIST2H2BE,HIST2H2BE,1.0
HIST2H2AC,HIST2H2AC,1.0
CTD-2012J19.3,HIST2H2AB,0.41083696
HIST2H2AB,HIST2H2AB,0.99999374
SV2A,SV2A,0.99998486
SF3B4,SF3B4,0.99999577
VPS45,VPS45,0.9999949
PLEKHO1,PLEKHO1,0.99999654
ANP32E,ANP32E,0.9999948
CA14,CA14,0.9999791
PRPF3,PRPF3,0.9999961
RPRD2,RPRD2,1.0
TARS2,TARS2,0.99999934
ECM1,ECM1,1.0
GOLPH3L,GOLPH3L,0.99999917
CTSS,CTSS,1.0
RP11-316M1.3,RP11-316M1.3,1.0
MLLT11,MLLT11,1.0
SEMA6C,SEMA6C,0.99999255
TNFAIP8L2,TNFAIP8L2,1.0
LYSMD1,LYSMD1,1.0
PIP5K1A,PIP5K1A,1.0
RP11-126K1.2,RP11-126K1.2,1.0
CGN,CGN,1.0
SNX27,SNX27,0.9999975
S100A10,S100A10,0.99999607
S100A11,S100A11,0.9999999
SPINK13,TCHH,0.43871796
AC004540.5,TCHH,0.5981511
RBPMS,TCHH,0.6575576
TCHH,TCHH,1.0
SULT1A3,PGLYRP4,0.4040149
RP5-1021I20.1,PGLYRP4,0.4423032
PGLYRP4,PGLYRP4,0.99999064
S100A9,S100A9,0.99997175
S100A4,S100A4,1.0
GPR124,S100A14,0.41936633
APOL6,S100A14,0.42947143
NDRG1,S100A14,0.43526736
RP11-16E12.1,S100A14,0.4701432
PROC,S100A14,0.48254895
TMEM105,S100A14,0.5201725
CHRNB4,S100A14,0.5337882
S100A14,S100A14,1.0
S100A13,S100A13,1.0
S100A1,S100A1,0.9999934
ILF2,ILF2,1.0
RPL34,RPS27,0.4159761
RPS27,RPS27,0.99999994
RP11-307C12.12,RP11-307C12.12,1.0
CKS1B,CKS1B,1.0
EFNA1,EFNA1,0.9999918
DPM3,DPM3,1.0
THBS3,THBS3,0.9999906
MTX1,MTX1,1.0
GBA,GBA,0.9999948
HCN3,HCN3,0.99999493
FDPS,FDPS,1.0
RUSC1,RUSC1,1.0
ASH1L,ASH1L,0.9999961
KIAA0907,KIAA0907,0.9999964
RP11-336K24.12,RP11-336K24.12,0.9999991
LMNA,LMNA,1.0
TMEM79,TMEM79,0.999994
C1orf61,C1orf61,1.0
MEF2D,MEF2D,0.999993
IQGAP3,IQGAP3,0.9999939
GPATCH4,GPATCH4,0.9999987
RP11-284F21.9,RP11-284F21.9,0.9999969
RP11-284F21.10,RP11-284F21.10,0.9999931
RP11-284F21.7,RP11-284F21.7,1.0
NES,NES,1.0
RRNAD1,RRNAD1,1.0
HDGF,HDGF,0.9999985
SH2D2A,SH2D2A,0.99999845
NTRK1,NTRK1,0.99999905
RP11-574F21.2,RP11-574F21.2,0.9999984
COPA,COPA,0.9999959
RP11-58E21.3,ITLN1,0.4029573
ABCA1,ITLN1,0.7073747
ITLN1,ITLN1,1.0
F11R,F11R,1.0
PFDN2,PFDN2,1.0
RP11-297K8.2,RP11-297K8.2,1.0
USP21,USP21,0.9999919
FCER1G,FCER1G,1.0
APOA2,APOA2,0.9999949
MPZ,MPZ,1.0
FCGR2A,FCGR2A,0.9999897
FCRLB,FCRLB,0.9999959
C1orf226,C1orf226,1.0
RP11-359K18.3,RP11-359K18.3,1.0
HSD17B7,HSD17B7,1.0
NUF2,NUF2,1.0
PBX1,PBX1,0.9999894
MGST3,MGST3,0.9999975
RP11-458N5.1,RP11-466F5.10,0.41722777
RP11-366H4.1,RP11-466F5.10,0.5190222
EVI2A,RP11-466F5.10,0.68065846
RP11-466F5.10,RP11-466F5.10,1.0
RP11-276E17.2,RP11-276E17.2,0.99999213
RP11-277B15.3,RP11-277B15.3,1.0
POU2F1,POU2F1,0.9999944
CREG1,CREG1,1.0
RP3-455J7.4,RP3-455J7.4,1.0
RCSD1,RCSD1,0.9999945
ADTRP,ADCY10,0.47978878
RP11-219G17.4,ADCY10,0.6984246
