source,target,importance
ANKRD45,ANKRD45,0.99998873
ANKRD46,ANKRD46,0.9999641
ANKRD49,ANKRD49,0.9999984
ANKRD50,ANKRD50,0.999968
ANKRD52,ANKRD52,0.9999823
ANKRD54,ANKRD54,0.9999639
ICOSLG,ANKRD55,0.41553116
SYN1,ANKRD55,0.4315682
CYTIP,ANKRD55,0.50279164
GPX5,ANKRD55,0.5113616
MYH14,ANKRD55,0.5386352
S100A16,ANKRD55,0.5764785
HAS1,ANKRD55,0.7925659
ANKRD55,ANKRD55,0.99999416
ANKRD6,ANKRD6,0.9999906
ANKRD9,ANKRD9,0.99995667
ANKS1A,ANKS1A,0.99998754
ANKS3,ANKS3,0.9999991
ANKS6,ANKS6,0.9999696
ANKZF1,ANKZF1,0.9999606
ANLN,ANLN,1.0
ANO10,ANO10,1.0
ANO5,ANO5,0.99999285
ANO6,ANO6,1.0
ANO7,ANO7,1.0
ANO8,ANO8,1.0
ANO9,ANO9,0.9999811
ANP32A,ANP32A,1.0
ANP32B,ANP32B,1.0
ANP32E,ANP32E,0.9999974
ANPEP,ANPEP,1.0
ANTXR1,ANTXR1,0.999977
ANTXR2,ANTXR2,0.9999996
ANXA1,ANXA1,1.0
ANXA11,ANXA11,1.0
ANXA2,ANXA2,1.0
ANXA2R,ANXA2R,0.9999743
ANXA3,ANXA3,0.999973
ANXA4,ANXA4,1.0
ANXA5,ANXA5,1.0
ANXA6,ANXA6,1.0
ANXA7,ANXA7,0.999981
ANXA9,ANXA9,0.9999859
AOC2,AOC2,0.9999854
AOC3,AOC3,0.99999076
AP1AR,AP1AR,0.999976
AP1B1,AP1B1,1.0
AP1G1,AP1G1,0.9999853
AP1G2,AP1G2,0.99998736
AP1M1,AP1M1,1.0
AP1S1,AP1S1,1.0
AP1S2,AP1S2,1.0
AP1S3,AP1S3,0.99999994
AP2A1,AP2A1,0.99998915
AP2A2,AP2A2,0.99998164
AP2B1,AP2B1,0.9999978
AP2M1,AP2M1,0.9999993
AP2S1,AP2S1,1.0
AP3B1,AP3B1,0.9999849
AP3D1,AP3D1,1.0
AP3M1,AP3M1,0.9999996
AP3M2,AP3M2,1.0
AP3S1,AP3S1,1.0
AP3S2,AP3S2,1.0
AP4B1,AP4B1,0.9999696
AP4E1,AP4E1,0.99998623
AP4M1,AP4M1,1.0
AP4S1,AP4S1,0.99995136
AP5B1,AP5B1,0.999997
AP5M1,AP5M1,1.0
AP5S1,AP5S1,1.0
AP5Z1,AP5Z1,1.0
APAF1,APAF1,1.0
APBA2,APBA2,0.9999687
APBA3,APBA3,1.0
APBB1,APBB1,0.9999882
APBB2,APBB2,0.99996907
APBB3,APBB3,1.0
APC,APC,1.0
APC2,APC2,0.9999131
APEH,APEH,0.9999838
APEX1,APEX1,1.0
APEX2,APEX2,1.0
APH1A,APH1A,0.999993
APH1B,APH1B,0.9999514
API5,API5,1.0
APIP,APIP,0.9999925
APLF,APLF,1.0
APLN,APLN,1.0
APLNR,APLNR,0.9999894
APLP1,APLP1,0.99999917
APLP2,APLP2,0.99998814
APMAP,APMAP,1.0
APOA1,APOA1,1.0
APOA2,APOA2,1.0
APOBEC3B,APOBEC3B,1.0
APOBEC3C,APOBEC3C,1.0
APOBEC3D,APOBEC3D,0.9999708
APOBEC3F,APOBEC3F,0.9999786
APOBEC3G,APOBEC3G,0.9999833
APOBR,APOBR,0.9999697
APOC1,APOC1,0.9999996
APOC2,APOC2,1.0
