source,target,importance
MEF2D,MEF2D,1.0
IQGAP3,IQGAP3,1.0
GPATCH4,GPATCH4,1.0
RP11-284F21.9,RP11-284F21.9,0.99999714
RP11-284F21.10,RP11-284F21.10,1.0
RP11-284F21.7,RP11-284F21.7,1.0
NES,NES,1.0
RRNAD1,RRNAD1,1.0
HDGF,HDGF,0.99999905
SH2D2A,SH2D2A,1.0
NTRK1,NTRK1,0.99999666
RP11-574F21.2,RP11-574F21.2,1.0
COPA,COPA,1.0
AXDND1,ITLN1,0.4424155
RP11-58E21.3,ITLN1,0.50025046
ABCA1,ITLN1,0.5864845
ITLN1,ITLN1,0.99998873
F11R,F11R,0.99999696
PFDN2,PFDN2,1.0
RP11-297K8.2,RP11-297K8.2,0.9999928
USP21,USP21,1.0
FCER1G,FCER1G,1.0
APOA2,APOA2,0.9999932
MPZ,MPZ,1.0
FCGR2A,FCGR2A,0.9999942
FCRLB,FCRLB,1.0
C1orf226,C1orf226,0.99998283
RP11-359K18.3,RP11-359K18.3,1.0
HSD17B7,HSD17B7,1.0
NUF2,NUF2,1.0
PBX1,PBX1,1.0
MGST3,MGST3,1.0
RP11-366H4.1,RP11-466F5.10,0.40914354
SYNE3,RP11-466F5.10,0.50290453
STXBP5-AS1,RP11-466F5.10,0.5093912
MMP9,RP11-466F5.10,0.53127676
RP11-466F5.10,RP11-466F5.10,0.99999917
RP11-276E17.2,RP11-276E17.2,0.9999954
RP11-277B15.3,RP11-277B15.3,0.9999996
POU2F1,POU2F1,0.999997
CREG1,CREG1,1.0
RP3-455J7.4,RP3-455J7.4,1.0
RCSD1,RCSD1,1.0
RP11-219G17.4,ADCY10,0.47543767
ADCY10,ADCY10,1.0
RP1-313L4.3,RP1-313L4.3,1.0
MPC2,MPC2,1.0
ATP1B1,ATP1B1,0.9999878
CCDC181,CCDC181,0.9999951
METTL18,METTL18,1.0
GORAB,GORAB,0.9999904
METTL13,METTL13,0.99999344
SUCO,SUCO,1.0
KLHL20,KLHL20,1.0
CENPL,CENPL,0.999997
ZBTB37,ZBTB37,1.0
CACYBP,CACYBP,0.99999994
C1orf220,C1orf220,0.99999595
NGEF,RP11-428K3.1,0.5606351
RP11-428K3.1,RP11-428K3.1,0.9999989
TOR3A,TOR3A,1.0
ABL2,ABL2,1.0
SOAT1,SOAT1,0.9999928
RASL10A,AXDND1,0.40038228
SLC10A5,AXDND1,0.43482316
MCC,AXDND1,0.43702754
ITLN1,AXDND1,0.4424155
LAMP3,AXDND1,0.48034728
TENC1,AXDND1,0.48086902
RP11-268G12.1,AXDND1,0.4965461
RP11-60I3.4,AXDND1,0.5248182
C10orf54,AXDND1,0.5339375
CCL2,AXDND1,0.5518554
RP4-798A10.2,AXDND1,0.57915545
GFY,AXDND1,0.62998706
FCGR1A,AXDND1,0.6438979
AXDND1,AXDND1,1.0
TDRD5,TDRD5,1.0
TOR1AIP1,TOR1AIP1,0.99999225
MR1,MR1,0.9999997
IER5,IER5,1.0
RNASEL,RNASEL,1.0
RGS16,RGS16,1.0
LAMC1,LAMC1,0.99999374
ARPC5,ARPC5,0.9999983
SLC2A6,FAM129A,0.4015167
FAM129A,FAM129A,0.9999998
RNF2,RNF2,0.99999493
TRMT1L,TRMT1L,1.0
SWT1,SWT1,0.99999744
GS1-279B7.2,GS1-279B7.2,1.0
C1orf27,C1orf27,0.9999946
PLA2G4A,PLA2G4A,0.99999887
RGS2,RGS2,1.0
TROVE2,TROVE2,1.0
GLRX2,GLRX2,0.9999983
CFH,CFH,1.0
C5orf47,CFHR3,0.476527
CFHR3,CFHR3,0.99998474
ASPM,ASPM,0.9999999
C1orf53,C1orf53,1.0
ZNF281,ZNF281,0.9999996
RP11-92G12.3,RP11-92G12.3,0.99999684
CAMSAP2,CAMSAP2,0.9999956
RP11-168O16.1,RP11-168O16.1,0.99998534
RPS10P7,RPS10P7,0.99999964
IPO9-AS1,IPO9-AS1,0.9999974
RNPEP,RNPEP,1.0
PTPN7,PTPN7,0.99999565
UBE2T,UBE2T,0.9999988
KDM5B,KDM5B,0.9999953
PCAT6,PCAT6,0.999997
CYB5R1,CYB5R1,0.99999183
PPFIA4,PPFIA4,1.0
RP11-134P9.3,RP11-134P9.3,1.0
LINC01136,LINC01136,1.0
BTG2,BTG2,0.99999493
ZC3H11A,ZC3H11A,1.0
SLC22A15,GOLT1A,0.44503635
SLC2A6,GOLT1A,0.5734721
LOXL4,GOLT1A,0.614314
GOLT1A,GOLT1A,0.9999969
PPP1R15B,PPP1R15B,0.9999989
PIK3C2B,PIK3C2B,0.99999374
MDM4,MDM4,0.99999905
DSTYK,DSTYK,1.0
ELK4,ELK4,0.9999904
NUCKS1,NUCKS1,0.99999976
RP11-312O7.2,RP11-312O7.2,1.0
CTSE,CTSE,0.99999106
DYRK3,DYRK3,0.9999998
CR1,CR1,1.0
CR1L,CR1L,0.999997
IMPG2,PLXNA2,0.43367967
PLXNA2,PLXNA2,0.99999416
C1orf74,C1orf74,1.0
RCOR3,RCOR3,0.99999416
TRAF5,TRAF5,1.0
RP11-318L16.6,RP11-318L16.6,1.0
NEK2,NEK2,1.0
INTS7,INTS7,1.0
DTL,DTL,0.9999943
PPP2R5A,PPP2R5A,0.99999416
NENF,NENF,1.0
DDIT4,ATF3,0.42320845
ATF3,ATF3,1.0
BATF3,BATF3,0.9999933
C1orf227,C1orf227,1.0
FLVCR1-AS1,FLVCR1-AS1,0.999997
VASH2,VASH2,1.0
PROX1,PROX1,1.0
CENPF,CENPF,0.99999565
KCTD3,KCTD3,1.0
ITGA8,RP11-224O19.2,0.5475793
RP11-224O19.2,RP11-224O19.2,1.0
TGFB2,TGFB2,1.0
LYPLAL1,LYPLAL1,1.0
SLC30A10,SLC30A10,1.0
BPNT1,BPNT1,1.0
MARC2,MARC2,0.999996
HLA-AS1,HLA-AS1,1.0
DUSP10,DUSP10,0.99999315
AIDA,AIDA,0.99999386
BROX,BROX,0.99999917
RP11-452F19.3,RP11-452F19.3,1.0
CAPN2,CAPN2,1.0
RP11-504P24.6,RP11-504P24.6,1.0
DEGS1,DEGS1,1.0
WDR26,WDR26,0.99999523
CNIH3,CNIH3,1.0
DNAH14,DNAH14,0.99999
LBR,LBR,1.0
ENAH,ENAH,0.99998903
TMEM63A,TMEM63A,0.99999213
SDE2,SDE2,0.99998903
RP11-396C23.2,RP11-396C23.2,1.0
ACBD3,ACBD3,1.0
LIN9,LIN9,0.9999999
ADCK3,ADCK3,0.9999962
CDC42BPA,CDC42BPA,1.0
C1orf35,C1orf35,0.99999666
OBSCN,OBSCN,0.99998975
RP5-1139B12.2,RP5-1139B12.2,0.9999957
TRIM17,TRIM17,0.9999981
HIF1A-AS2,HIST3H2BB,0.44905272
HIST3H2BB,HIST3H2BB,1.0
ACTA1,ACTA1,1.0
RP5-1068B5.3,RP5-1068B5.3,0.9999919
GALNT2,GALNT2,1.0
ARV1,ARV1,0.99999493
FAM89A,FAM89A,0.99999434
GNPAT,GNPAT,1.0
DISC1,DISC1,0.99999535
MAP10,MAP10,0.9999954
RP5-827C21.4,RP5-827C21.4,0.99999785
IRF2BP2,IRF2BP2,1.0
RP4-597N16.4,RP4-597N16.4,0.99999064
RBM34,RBM34,0.99999744
ARID4B,ARID4B,0.9999954
B3GALNT2,B3GALNT2,1.0
ERO1LB,ERO1LB,1.0
LGALS8,LGALS8,1.0
RP11-385F5.5,RP11-385F5.5,0.9999973
RP11-385F5.4,RP11-385F5.4,1.0
ACTN2,ACTN2,1.0
KMO,KMO,1.0
OPN3,OPN3,1.0
CHML,CHML,1.0
EXO1,EXO1,1.0
CEP170,CEP170,1.0
SDCCAG8,SDCCAG8,1.0
ZBTB18,ZBTB18,0.99999285
RP11-518L10.5,RP11-518L10.5,0.99999017
COX20,COX20,1.0
HNRNPU-AS1,HNRNPU-AS1,0.9999977
RP11-245J9.5,RP11-11N7.4,0.41554978
GMPPB,RP11-11N7.4,0.44373366
MST1,RP11-11N7.4,0.45099178
RP11-11N7.4,RP11-11N7.4,1.0
